HORA:16:19:48;	ORIGEN:MerchFront;	RUTA:ControlPresupuesto.Front.Inicio.Main()\MerchFront.Formularios.FrmCampanC.btnModificar_Click();	DESCRIPCION:[Referencia a objeto no establecida como instancia de un objeto.]
HORA:16:52:07;	ORIGEN:ControlPresupuesto.Data;	RUTA:ControlPresupuesto.Front.Inicio.Main()\MerchFront.Formularios.FrmDocumento.btnNuevo_Click()\MerchFront.Formularios.FrmDocumentoDetalle.txtCosto_Validated()\ControlPresupuesto.Logic.CentroCosto_Cab.Obtener()\ControlPresupuesto.Data.CentroCosto_Cab.Obtener();	DESCRIPCION:[Referencia a objeto no establecida como instancia de un objeto.]
HORA:16:53:52;	ORIGEN:ControlPresupuesto.Data;	RUTA:ControlPresupuesto.Front.Inicio.Main()\MerchFront.Formularios.FrmDocumento.btnNuevo_Click()\MerchFront.Formularios.FrmDocumentoDetalle.txtCosto_Validated()\ControlPresupuesto.Logic.CentroCosto_Cab.Obtener()\ControlPresupuesto.Data.CentroCosto_Cab.Obtener();	DESCRIPCION:[Referencia a objeto no establecida como instancia de un objeto.]
HORA:16:54:25;	ORIGEN:ControlPresupuesto.Data;	RUTA:ControlPresupuesto.Front.Inicio.Main()\MerchFront.Formularios.FrmDocumento.btnNuevo_Click()\MerchFront.Formularios.FrmDocumentoDetalle.txtCosto_Validated()\ControlPresupuesto.Logic.CentroCosto_Cab.Obtener()\ControlPresupuesto.Data.CentroCosto_Cab.Obtener();	DESCRIPCION:[Referencia a objeto no establecida como instancia de un objeto.]
HORA:16:55:14;	ORIGEN:ControlPresupuesto.Data;	RUTA:ControlPresupuesto.Front.Inicio.Main()\MerchFront.Formularios.FrmDocumento.btnNuevo_Click()\MerchFront.Formularios.FrmDocumentoDetalle.txtCosto_Validated()\ControlPresupuesto.Logic.CentroCosto_Cab.Obtener()\ControlPresupuesto.Data.CentroCosto_Cab.Obtener();	DESCRIPCION:[Referencia a objeto no establecida como instancia de un objeto.]
HORA:16:59:36;	ORIGEN:ControlPresupuesto.Data;	RUTA:ControlPresupuesto.Front.Inicio.Main()\MerchFront.Formularios.FrmDocumento.btnNuevo_Click()\MerchFront.Formularios.FrmDocumentoDetalle.txtCosto_Validated()\ControlPresupuesto.Logic.CentroCosto_Cab.Obtener()\ControlPresupuesto.Data.CentroCosto_Cab.Obtener();	DESCRIPCION:[Referencia a objeto no establecida como instancia de un objeto.]
HORA:17:25:12;	ORIGEN:.Net SqlClient Data Provider;	RUTA:ControlPresupuesto.Front.Inicio.Main()\MerchFront.Formularios.FrmDocumento.btnNuevo_Click()\MerchFront.Formularios.FrmDocumentoDetalle.btnGuardar_Click()\ControlPresupuesto.Logic.Documento_Cab.Insertar()\ControlPresupuesto.Data.Documento_Cab.Insertar();	DESCRIPCION:[Cannot insert the value NULL into column 'ccosto', table 'Merch.dbo.Documento_correlativo'; column does not allow nulls. INSERT fails. Cannot insert the value NULL into column 'ccosto', table 'Merch.dbo.Documento_Cab'; column does not allow nulls. INSERT fails. The statement has been terminated. The statement has been terminated.]
HORA:17:31:41;	ORIGEN:.Net SqlClient Data Provider;	RUTA:ControlPresupuesto.Front.Inicio.Main()\MerchFront.Formularios.FrmDocumento.btnNuevo_Click()\MerchFront.Formularios.FrmDocumentoDetalle.btnGuardar_Click()\ControlPresupuesto.Logic.Documento_Cab.Insertar()\ControlPresupuesto.Data.Documento_Cab.Insertar();	DESCRIPCION:[Cannot insert the value NULL into column 'ccosto', table 'Merch.dbo.Documento_correlativo'; column does not allow nulls. INSERT fails. Cannot insert the value NULL into column 'ccosto', table 'Merch.dbo.Documento_Cab'; column does not allow nulls. INSERT fails. The statement has been terminated. The statement has been terminated.]
HORA:17:32:45;	ORIGEN:.Net SqlClient Data Provider;	RUTA:ControlPresupuesto.Front.Inicio.Main()\MerchFront.Formularios.FrmDocumento.btnNuevo_Click()\MerchFront.Formularios.FrmDocumentoDetalle.btnGuardar_Click()\ControlPresupuesto.Logic.Documento_Cab.Insertar()\ControlPresupuesto.Data.Documento_Cab.Insertar();	DESCRIPCION:[String or binary data would be truncated. Cannot insert the value NULL into column 'doc', table 'Merch.dbo.Documento_Cab'; column does not allow nulls. INSERT fails. The statement has been terminated. The statement has been terminated.]
HORA:22:48:21;	ORIGEN:.Net SqlClient Data Provider;	RUTA:ControlPresupuesto.Front.Inicio.Main()\MerchFront.Formularios.FrmDocumento.btnNuevo_Click()\MerchFront.Formularios.FrmDocumentoDetalle.btnGuardar_Click()\ControlPresupuesto.Logic.Documento_Cab.Insertar()\ControlPresupuesto.Data.Documento_Cab.Insertar();	DESCRIPCION:[String or binary data would be truncated. The statement has been terminated.]
HORA:22:53:46;	ORIGEN:.Net SqlClient Data Provider;	RUTA:ControlPresupuesto.Front.Inicio.Main()\MerchFront.Formularios.FrmDocumento.btnNuevo_Click()\MerchFront.Formularios.FrmDocumentoDetalle.btnGuardar_Click()\ControlPresupuesto.Logic.Documento_Cab.Insertar()\ControlPresupuesto.Data.Documento_Lin.Insertar();	DESCRIPCION:[Cannot insert the value NULL into column 'numero', table 'Merch.dbo.Documento_Lin'; column does not allow nulls. INSERT fails. The statement has been terminated.]
HORA:23:06:44;	ORIGEN:System.Data;	RUTA:ControlPresupuesto.Front.Inicio.Main()\MerchFront.Formularios.FrmDocumento.btnNuevo_Click()\MerchFront.Formularios.FrmDocumento.MostrarLista()\ControlPresupuesto.Logic.Documento_Cab.ListarUso()\ControlPresupuesto.Data.Documento_Cab.ListarUso();	DESCRIPCION:[doc]
